Player Name,Squad Name,Club Name,Session Date,Session Name,Session Type,Accelerations,Decelerations,No of Sprints,Sprint Distance,Total Distance,Max Speed,High Speed Running
Dylan Bapst,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/15/2025,Press to Progress,Practice,49,27,5,162,3.13,21.84,200
Michael Howard,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/15/2025,Press to Progress,Practice,47,39,10,179,3.09,18.68,242
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/15/2025,Press to Progress,Practice,51,46,11,216,3.57,19.73,278
Nash Skoglund,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/15/2025,Press to Progress,Practice,46,33,3,137,2.62,18.62,157
Rohan Blackwell,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/15/2025,Press to Progress,Practice,81,57,8,206,3.88,21.42,247
Adrian Gallegos,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/15/2025,Press to Progress,Practice,55,42,9,188,3.57,16.91,248
Kyle Jansen,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/15/2025,Press to Progress,Practice,27,24,2,26,2.6,15.98,57
Erek Graham,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/15/2025,Press to Progress,Practice,52,39,15,225,3.76,21.39,269
Cole Pumpian,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/15/2025,Press to Progress,Practice,62,46,11,162,4.36,16.04,225
David Mejia,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/15/2025,Press to Progress,Practice,64,38,11,236,4.12,17.78,271
Parker Hollosi,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/15/2025,Press to Progress,Practice,71,57,5,125,4.08,23.34,204
Cherif Tammar,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/15/2025,Press to Progress,Practice,78,80,5,131,4.48,19.48,217
Julien Seher,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/15/2025,Press to Progress,Practice,56,46,4,51,3.18,16.34,79
Mohamed Abdi,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/15/2025,Press to Progress,Practice,57,39,12,231,3.77,20.05,296
